DateTime,AirTemperature-C,NetRadiation-Watts/m2
1/1/2014 0:00,-3,-6.1
1/1/2014 1:00,-3.4,-55.17
1/1/2014 2:00,-4,-61.91
1/1/2014 3:00,-4.3,-73.78
1/1/2014 4:00,-3.2,-92.16
1/1/2014 5:00,-3.1,-87.85
1/1/2014 6:00,-3.1,-83.5
1/1/2014 7:00,-4,-82.67
1/1/2014 8:00,-4.7,-81.96
1/1/2014 9:00,-4.6,-84.75
1/1/2014 10:00,-3.8,-44.9
1/1/2014 11:00,-2.4,38.5
1/1/2014 12:00,-1.1,39.7
1/1/2014 13:00,0.5,41
1/1/2014 14:00,-0.1,37.3
1/1/2014 15:00,-0.6,36.5
1/1/2014 16:00,-1.4,-45.71
1/1/2014 17:00,-1.5,-66.71
1/1/2014 18:00,-1.2,-71.93
1/1/2014 19:00,-1.5,-67.23
1/1/2014 20:00,-1.7,-63.96
1/1/2014 21:00,-1.3,-53.23
1/1/2014 22:00,-1.1,-51.37
1/1/2014 23:00,-0.9,-49.48
1/2/2014 0:00,-0.7,-43.42
1/2/2014 1:00,-0.3,-51.5
1/2/2014 2:00,-0.5,-49.72
1/2/2014 3:00,-0.5,-26.3
1/2/2014 4:00,-0.6,-29.9
1/2/2014 5:00,-0.5,-61.57
1/2/2014 6:00,-0.7,-64.84
1/2/2014 7:00,-0.7,-59.55
1/2/2014 8:00,-0.4,-69.71
1/2/2014 9:00,-0.7,-71.34
1/2/2014 10:00,0.2,-26.4
1/2/2014 11:00,1,46.7
1/2/2014 12:00,1.4,41
1/2/2014 13:00,1.9,46.6
1/2/2014 14:00,2.2,40.7
1/2/2014 15:00,2.8,42.4
1/2/2014 16:00,1.4,-38.24
1/2/2014 17:00,1,-65.59
1/2/2014 18:00,0.3,-72.78
1/2/2014 19:00,0,-61.26
1/2/2014 20:00,0.8,-61.72
1/2/2014 21:00,1.2,-76.93
1/2/2014 22:00,1.1,-42.32
1/2/2014 23:00,1.1,-71.67
1/3/2014 0:00,1,-69.87
1/3/2014 1:00,1.3,-49.14
1/3/2014 2:00,2.2,-18.9
1/3/2014 3:00,2.7,-10.3
1/3/2014 4:00,2.7,-9.4
1/3/2014 5:00,2.3,-9.2
1/3/2014 6:00,1.7,-12.8
1/3/2014 7:00,0.3,-9.33
1/3/2014 8:00,-0.9,-9.23
1/3/2014 9:00,-1.9,-6.08
1/3/2014 10:00,-2.4,16.33
1/3/2014 11:00,-2.8,27
1/3/2014 12:00,-3.2,46
1/3/2014 13:00,-3.5,50.4
1/3/2014 14:00,-3.5,27.5
1/3/2014 15:00,-3.9,30.5
1/3/2014 16:00,-4.8,-66.49
1/3/2014 17:00,-5.1,-93.54
1/3/2014 18:00,-5.7,-101.05
1/3/2014 19:00,-6.3,-97.88
1/3/2014 20:00,-6.4,-97.76
1/3/2014 21:00,-6.8,-85.74
1/3/2014 22:00,-7.7,-98.84
1/3/2014 23:00,-8.6,-97.74
1/4/2014 0:00,-8.8,-97.18
1/4/2014 1:00,-9,-98.31
1/4/2014 2:00,-9.3,-98.1
1/4/2014 3:00,-9.5,-99.32
1/4/2014 4:00,-9.3,-100.41
1/4/2014 5:00,-9,-101.48
1/4/2014 6:00,-9.4,-99.75
1/4/2014 7:00,-9.7,-96.92
1/4/2014 8:00,-10.8,-92.27
1/4/2014 9:00,-10.9,-96
1/4/2014 10:00,-10.7,-28.4
1/4/2014 11:00,-9.6,145.5
1/4/2014 12:00,-9.6,61.3
1/4/2014 13:00,-9.8,92.2
1/4/2014 14:00,-9.9,50.8
1/4/2014 15:00,-9.9,47.8
1/4/2014 16:00,-10.2,-49.29
1/4/2014 17:00,-10.4,-97.08
1/4/2014 18:00,-11,-99.22
1/4/2014 19:00,-11.2,-94.6
1/4/2014 20:00,-11.2,-93.53
1/4/2014 21:00,-11.1,-92.31
1/4/2014 22:00,-10.9,-91.8
1/4/2014 23:00,-10.8,-91.46
1/5/2014 0:00,-10.6,-91.96
1/5/2014 1:00,-10.6,-90.7
1/5/2014 2:00,-10.6,-88.43
1/5/2014 3:00,-9.5,-90.36
1/5/2014 4:00,-8.9,-89.87
1/5/2014 5:00,-8.6,-88.79
1/5/2014 6:00,-8.3,-89.04
1/5/2014 7:00,-8.2,-88.71
1/5/2014 8:00,-8.4,-88.33
1/5/2014 9:00,-8.6,-91.72
1/5/2014 10:00,-8.3,-42.6
1/5/2014 11:00,-7.1,50
1/5/2014 12:00,-6.2,54.2
1/5/2014 13:00,-6,62.6
1/5/2014 14:00,-6.1,51.9
1/5/2014 15:00,-6.1,43.9
1/5/2014 16:00,-6.1,-34.12
1/5/2014 17:00,-6.1,-78.26
1/5/2014 18:00,-6,-84.39
1/5/2014 19:00,-5.6,-81.35
1/5/2014 20:00,-5.5,-78.63
1/5/2014 21:00,-5.6,-75.49
1/5/2014 22:00,-4.8,-75.6
1/5/2014 23:00,-5,-74.45
1/6/2014 0:00,-4.6,-74.68
1/6/2014 1:00,-4.2,-72.92
1/6/2014 2:00,-3.1,-74.03
1/6/2014 3:00,-3.4,-71.94
1/6/2014 4:00,-3.6,-70.91
1/6/2014 5:00,-3.5,-70.24
1/6/2014 6:00,-3.1,-70.97
1/6/2014 7:00,-2,-72.33
1/6/2014 8:00,-2.9,-65.6
1/6/2014 9:00,-2.6,-67.43
1/6/2014 10:00,-1.8,-28.3
1/6/2014 11:00,0.4,56.2
1/6/2014 12:00,-0.1,51.8
1/6/2014 13:00,0.6,43.7
1/6/2014 14:00,1.8,53.5
1/6/2014 15:00,0.4,13
1/6/2014 16:00,-0.8,-28.48
1/6/2014 17:00,-1.6,-36.63
1/6/2014 18:00,-2,-43.08
1/6/2014 19:00,-2,-42.5
1/6/2014 20:00,-2.3,-54.7
1/6/2014 21:00,-2.9,-60.6
1/6/2014 22:00,-3.3,-65.6
1/6/2014 23:00,-3,-55.7
1/7/2014 0:00,-3,-35
1/7/2014 1:00,-2.8,-40.1
1/7/2014 2:00,-3.2,-28.3
1/7/2014 3:00,-3.5,-32.5
1/7/2014 4:00,-3.4,-29.3
1/7/2014 5:00,-3.7,-19.4
1/7/2014 6:00,-3.8,-12.8
1/7/2014 7:00,-4,-8.9
1/7/2014 8:00,-4.4,-12.8
1/7/2014 9:00,-4.6,-20.9
1/7/2014 10:00,-4.7,3.33
1/7/2014 11:00,-3.7,16.82
1/7/2014 12:00,-2.9,65.5
1/7/2014 13:00,-2.4,117
1/7/2014 14:00,-2.5,60.3
1/7/2014 15:00,-2.9,26.1
1/7/2014 16:00,-2.9,13.21
1/7/2014 17:00,-3,4.13
1/7/2014 18:00,-3,-1.16
1/7/2014 19:00,-2.7,-0.92
1/7/2014 20:00,-2.6,-0.49
1/7/2014 21:00,-2.6,-0.53
1/7/2014 22:00,-2.4,-0.17
1/7/2014 23:00,-2.6,-0.1
1/8/2014 0:00,-2.7,-0.1
1/8/2014 1:00,-2.5,-0.02
1/8/2014 2:00,-2.5,0.1
1/8/2014 3:00,-2.8,0.1
1/8/2014 4:00,-3.5,0
1/8/2014 5:00,-3.8,0
1/8/2014 6:00,-4.1,0
1/8/2014 7:00,-4,-0.06
1/8/2014 8:00,-3.9,-0.04
1/8/2014 9:00,-3.9,0.94
1/8/2014 10:00,-3.8,4.83
1/8/2014 11:00,-2.8,16.5
1/8/2014 12:00,-1.9,25.3
1/8/2014 13:00,-2.4,19.7
1/8/2014 14:00,-3,11.6
1/8/2014 15:00,-2.6,13.7
1/8/2014 16:00,-2.5,8.15
1/8/2014 17:00,-2.7,1.54
