#Variables:
#tasmax (K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Point Location: 42.28125 Latitude, -116.78125 Longitude (closest value to Latitude:42.28125, Longitude:-116.78125) "
#Original Data File(s):
#macav2livneh_tasmax_CCSM4_r6i1p1_historical_1990_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax (K)
1990-01-01,284.911
1990-01-02,288.1
1990-01-03,287.702
1990-01-04,284.705
1990-01-05,286.347
1990-01-06,286.0
1990-01-07,284.326
1990-01-08,285.595
1990-01-09,288.842
1990-01-10,282.004
1990-01-11,285.008
1990-01-12,289.54
1990-01-13,289.693
1990-01-14,288.307
1990-01-15,286.234
1990-01-16,286.563
1990-01-17,285.844
1990-01-18,284.251
1990-01-19,283.364
1990-01-20,286.854
1990-01-21,285.406
1990-01-22,284.928
1990-01-23,282.523
1990-01-24,284.74
1990-01-25,286.69
1990-01-26,289.394
1990-01-27,292.199
1990-01-28,291.3
1990-01-29,290.001
1990-01-30,291.569
1990-01-31,291.927
1990-02-01,292.534
1990-02-02,292.275
1990-02-03,290.72
1990-02-04,291.982
1990-02-05,293.648
1990-02-06,290.676
1990-02-07,286.986
1990-02-08,280.937
1990-02-09,282.821
1990-02-10,278.314
1990-02-11,288.618
1990-02-12,287.848
1990-02-13,292.025
1990-02-14,292.415
1990-02-15,296.139
1990-02-16,294.583
1990-02-17,289.65
1990-02-18,287.004
1990-02-19,286.938
1990-02-20,290.039
1990-02-21,294.786
1990-02-22,291.673
1990-02-23,291.851
1990-02-24,290.26
1990-02-25,293.457
1990-02-26,295.659
1990-02-27,297.805
1990-02-28,297.572
1990-03-01,296.757
1990-03-02,297.57
1990-03-03,299.025
1990-03-04,300.89
1990-03-05,298.842
1990-03-06,295.425
1990-03-07,295.722
1990-03-08,299.662
1990-03-09,301.735
1990-03-10,302.635
1990-03-11,299.668
1990-03-12,297.638
1990-03-13,297.907
1990-03-14,297.747
1990-03-15,297.173
1990-03-16,297.692
1990-03-17,300.433
1990-03-18,300.504
1990-03-19,300.314
1990-03-20,299.447
1990-03-21,298.413
1990-03-22,294.837
1990-03-23,291.382
1990-03-24,293.737
1990-03-25,296.674
1990-03-26,295.884
1990-03-27,295.08
1990-03-28,293.014
1990-03-29,292.715
1990-03-30,293.573
1990-03-31,295.473
1990-04-01,295.758
1990-04-02,298.105
1990-04-03,302.0
1990-04-04,303.209
1990-04-05,305.193
1990-04-06,304.199
1990-04-07,305.05
1990-04-08,303.733
1990-04-09,303.266
