Date,ppt (inches),Degree C,Elevation,areastream
1990-01-01,1.72,1.39,1043,89916
1990-02-01,0.96,0.11,1043,89916
1990-03-01,1.44,5,1043,89916
1990-04-01,2.46,10.17,1043,89916
1990-05-01,4.07,10.72,1043,89916
1990-06-01,1.81,15.11,1043,89916
1990-07-01,0.84,20.72,1043,89916
1990-08-01,0.94,20.17,1043,89916
1990-09-01,0.08,18.61,1043,89916
1990-10-01,2.35,8.22,1043,89916
1990-11-01,2.38,4.67,1043,89916
1990-12-01,1.32,-4.89,1043,89916
1991-01-01,1.07,-2,1043,89916
1991-02-01,0.65,5.61,1043,89916
1991-03-01,1.81,3.22,1043,89916
1991-04-01,2.14,7.5,1043,89916
1991-05-01,3.96,10,1043,89916
1991-06-01,2.63,13,1043,89916
1991-07-01,0.46,19.11,1043,89916
1991-08-01,0.29,21,1043,89916
1991-09-01,0.13,16.22,1043,89916
1991-10-01,0.58,9.39,1043,89916
1991-11-01,3.38,2.39,1043,89916
1991-12-01,0.89,1.33,1043,89916
1992-01-01,0.92,1.17,1043,89916
1992-02-01,1.34,5.17,1043,89916
1992-03-01,0.76,7.5,1043,89916
1992-04-01,2.04,9.56,1043,89916
1992-05-01,1.07,13.94,1043,89916
1992-06-01,1.52,18.44,1043,89916
1992-07-01,2.4,18.17,1043,89916
1992-08-01,1.16,19.83,1043,89916
1992-09-01,1.37,14.17,1043,89916
1992-10-01,1.03,10.56,1043,89916
1992-11-01,2.31,1.94,1043,89916
1992-12-01,0.89,-2.11,1043,89916
1993-01-01,1.58,-3.89,1043,89916
1993-02-01,0.8,-1.94,1043,89916
1993-03-01,1.62,5.11,1043,89916
1993-04-01,3.8,7.22,1043,89916
1993-05-01,2.44,14.39,1043,89916
1993-06-01,2.88,14.5,1043,89916
1993-07-01,2.88,14.56,1043,89916
1993-08-01,1.29,17.28,1043,89916
1993-09-01,0.13,14.61,1043,89916
1993-10-01,1.11,10.5,1043,89916
1993-11-01,0.75,0.33,1043,89916
1993-12-01,1.23,0.5,1043,89916
1994-01-01,1.55,2.89,1043,89916
1994-02-01,1.36,-0.06,1043,89916
1994-03-01,0.82,5.39,1043,89916
1994-04-01,2.09,9.33,1043,89916
1994-05-01,2.01,12.89,1043,89916
1994-06-01,1.81,14.67,1043,89916
1994-07-01,0.68,21,1043,89916
1994-08-01,0.15,20.56,1043,89916
1994-09-01,0.5,16.72,1043,89916
1994-10-01,1.84,8.61,1043,89916
1994-11-01,2.94,-0.56,1043,89916
1994-12-01,1.84,-0.28,1043,89916
1995-01-01,1.74,0,1043,89916
1995-02-01,1.72,3.89,1043,89916
1995-03-01,2.66,3.78,1043,89916
1995-04-01,2.94,7.06,1043,89916
1995-05-01,1.86,11.83,1043,89916
1995-06-01,2.89,14.33,1043,89916
1995-07-01,1.61,18.89,1043,89916
1995-08-01,1.38,17.17,1043,89916
1995-09-01,1.13,16.06,1043,89916
1995-10-01,2.64,7.39,1043,89916
1995-11-01,3.6,4.89,1043,89916
1995-12-01,2.27,-0.11,1043,89916
1996-01-01,2.86,-0.67,1043,89916
1996-02-01,3.37,-0.78,1043,89916
1996-03-01,1.12,3.67,1043,89916
1996-04-01,4.12,8,1043,89916
1996-05-01,3.38,9.17,1043,89916
1996-06-01,0.96,14.94,1043,89916
1996-07-01,0.25,20.28,1043,89916
1996-08-01,0.24,19.72,1043,89916
1996-09-01,0.89,13.06,1043,89916
1996-10-01,2.13,8.72,1043,89916
1996-11-01,3.06,3.06,1043,89916
1996-12-01,3.38,-1,1043,89916
1997-01-01,2.39,-0.67,1043,89916
1997-02-01,1.85,0.89,1043,89916
1997-03-01,2.7,3.72,1043,89916
1997-04-01,3.7,6.22,1043,89916
1997-05-01,1.66,12.89,1043,89916
1997-06-01,1.52,14.78,1043,89916
1997-07-01,2.83,17.83,1043,89916
1997-08-01,0.58,20.56,1043,89916
1997-09-01,1.5,15.83,1043,89916
1997-10-01,2.1,8.67,1043,89916
1997-11-01,1.63,4.78,1043,89916
1997-12-01,1.31,-0.61,1043,89916
1998-01-01,2.07,0.61,1043,89916
1998-02-01,0.93,2.83,1043,89916
1998-03-01,1.41,4.06,1043,89916
1998-04-01,1.9,7.44,1043,89916
1998-05-01,4.6,11.72,1043,89916
1998-06-01,2,14.61,1043,89916
1998-07-01,1.51,21.94,1043,89916
1998-08-01,0.41,20.78,1043,89916
1998-09-01,2.13,18.06,1043,89916
1998-10-01,1.45,8.5,1043,89916
1998-11-01,3.65,3.72,1043,89916
1998-12-01,2.46,-1.67,1043,89916
1999-01-01,1.38,0.78,1043,89916
1999-02-01,2.52,1,1043,89916
1999-03-01,1.86,3.17,1043,89916
1999-04-01,1.16,5.83,1043,89916
1999-05-01,1.34,9.39,1043,89916
1999-06-01,1.64,13.89,1043,89916
1999-07-01,0.32,17.94,1043,89916
1999-08-01,1.32,20.61,1043,89916
1999-09-01,0.13,14.22,1043,89916
1999-10-01,1.7,9.44,1043,89916
1999-11-01,2.39,6.67,1043,89916
1999-12-01,1.73,0.28,1043,89916
2000-01-01,1.73,-0.72,1043,89916
2000-02-01,2.36,2.11,1043,89916
2000-03-01,1.86,3.89,1043,89916
2000-04-01,1.6,9.33,1043,89916
2000-05-01,2.49,11.44,1043,89916
2000-06-01,1.7,15,1043,89916
2000-07-01,0.18,18.89,1043,89916
2000-08-01,0.09,19.94,1043,89916
